away_avg_corners,away_avg_fouls,away_avg_goals_conceded,away_avg_goals_scored,away_avg_pass_accuracy,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shots_on_target,away_avg_yellow_cards,away_draw_percentage,away_form_summary,away_loss_percentage,away_matches_analyzed,away_team,away_win_percentage,fixture_id,home_avg_corners,home_avg_fouls,home_avg_goals_conceded,home_avg_goals_scored,home_avg_pass_accuracy,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shots_on_target,home_avg_yellow_cards,home_draw_percentage,home_form_summary,home_loss_percentage,home_matches_analyzed,home_team,home_win_percentage,is_home,league,match_date,opponent_name,status,team_name
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Atalanta,0.0,39,,,,,,,,,,,,,,,Genoa,,False,Serie A,2025-05-18,Genoa,nan,Atalanta
,,,,,,,,,,,,,,Udinese,,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Juventus,0.0,True,Serie A,2025-05-18,Udinese,nan,Juventus
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Udinese,0.0,40,,,,,,,,,,,,,,,Juventus,,False,Serie A,2025-05-18,Juventus,nan,Udinese
,,,,,,,,,,,,,,Bologna,,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Fiorentina,0.0,True,Serie A,2025-05-18,Bologna,nan,Fiorentina
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Bologna,0.0,41,,,,,,,,,,,,,,,Fiorentina,,False,Serie A,2025-05-18,Fiorentina,nan,Bologna
,,,,,,,,,,,,,,Napoli,,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Parma,0.0,True,Serie A,2025-05-18,Napoli,nan,Parma
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Napoli,0.0,42,,,,,,,,,,,,,,,Parma,,False,Serie A,2025-05-18,Parma,nan,Napoli
,,,,,,,,,,,,,,Lazio,,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Inter,0.0,True,Serie A,2025-05-18,Lazio,nan,Inter
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Lazio,0.0,43,,,,,,,,,,,,,,,Inter,,False,Serie A,2025-05-18,Inter,nan,Lazio
,,,,,,,,,,,,,,Torino,,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Lecce,0.0,True,Serie A,2025-05-18,Torino,nan,Lecce
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Torino,0.0,44,,,,,,,,,,,,,,,Lecce,,False,Serie A,2025-05-18,Lecce,nan,Torino
,,,,,,,,,,,,,,Venezia,,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Cagliari,0.0,True,Serie A,2025-05-18,Venezia,nan,Cagliari
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Venezia,0.0,45,,,,,,,,,,,,,,,Cagliari,,False,Serie A,2025-05-18,Cagliari,nan,Venezia
,,,,,,,,,,,,,,Empoli,,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Monza,0.0,True,Serie A,2025-05-18,Empoli,nan,Monza
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Empoli,0.0,46,,,,,,,,,,,,,,,Monza,,False,Serie A,2025-05-18,Monza,nan,Empoli
,,,,,,,,,,,,,,Como,,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Hellas Verona,0.0,True,Serie A,2025-05-18,Como,nan,Hellas Verona
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Como,0.0,47,,,,,,,,,,,,,,,Hellas Verona,,False,Serie A,2025-05-18,Hellas Verona,nan,Como
,,,,,,,,,,,,,,Milan,,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Roma,0.0,True,Serie A,2025-05-18,Milan,nan,Roma
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Milan,0.0,48,,,,,,,,,,,,,,,Roma,,False,Serie A,2025-05-18,Roma,nan,Milan
,,,,,,,,,,,,,,Liverpool,,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Brighton,0.0,True,Premier League,2025-05-19,Liverpool,nan,Brighton
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Liverpool,0.0,49,,,,,,,,,,,,,,,Brighton,,False,Premier League,2025-05-19,Brighton,nan,Liverpool
,,,,,,,,,,,,,,Bournemouth,,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Manchester City,0.0,True,Premier League,2025-05-20,Bournemouth,nan,Manchester City
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Bournemouth,0.0,50,,,,,,,,,,,,,,,Manchester City,,False,Premier League,2025-05-20,Manchester City,nan,Bournemouth
,,,,,,,,,,,,,,Wolves,,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Crystal Palace,0.0,True,Premier League,2025-05-20,Wolves,nan,Crystal Palace
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Wolves,0.0,51,,,,,,,,,,,,,,,Crystal Palace,,False,Premier League,2025-05-20,Crystal Palace,nan,Wolves
